slang,meaning
nite,night
1daful,wonderful
2,to
2,too
2,two
2 4 / 7,all the time
2b,to be
2b@,to be at
2d4,to die for
2day,today
2g2b4g,to good to be forgotten
2g2bt,to good to be true
2moro ,tomorrow
2nite,tonight
4,for
4,four
4col,for crying out loud
4u2c,for you to see
aamof,as a matter of fact
aamoi,as a matter of interest
aar,at any rate
aar8,at any rate
ab,about
abt,about
abt2,about to
and,any day now
afaic,as far as im concerned
afaics,as far as i can see
afaict,as far as i can tell
afaik,as far as i know
afair,as far as i remember
afaiu,as far as i understand
afaiui,as far as i understand it
afap,as far as possible
afiaa,as far as i am aware
aight,all right
aih,as it happens
aimb,as i mentioned before
ain't,am not
aint,am not
aisb,as i said before
aise,as i said earlier
aisi,as i see it
alol,actually laughing out loud
amap,as much as possible
asamof,as a matter of fact
asap,as soon as possible
atm,at the moment
atsl,along the same line
ayk,as you know
b,be
b/c ,because
b/w,between
b/w,black and white
b4,before
bc,because
bcoz,because
bcz,because
bd,big deal
betweet,hot tweet
bfn,bye for now
bgd,background
bn,been
bn,being
bod,benefit of the doubt
bion,believe it or not
bon,believe it or not
br,best regards
btn,better than nothing
btr,better
btw,by the way
c,see
cbb,cant be bothered
chk,check
cld,could
clk,click
cn,can
cr8,create
coz,because
cu,see you
cuz,because
cwot,complete waste of time
cx,correction
c ya ,see you
cya,see you
cz,because
d8,date
d,the
da,the
dat,that
deets,details
def,definitely
dem,them
dey,they
ditto,same here
dk,do not know
dkdc,do not know do not care
dm,direct message
doa,dead on arrival
doin,doing
dunno,do not know
dw,do not worry
em,email
ema,email address
eml,email
eom,end of message
eta,estimated time of arrival
every1,everyone
evre1,everyone
f2f,face to face
fab,fabulous
faq,frequently asked questions
fav,favorite
fawc,for anyone who cares
fb,facebook
fcol,for crying out loud
ff,follow friday
fomo,fear of missing out
frm,from
ftf,face to face
ftl,for the loss
ftw,for the win
fwd,forward
fwiw,for what its worth
fyi,for your information
g4i,go for it
g4n,good for nothing
ga,go ahead
gawd,god
gd,good
gfi,go for it
gr8,great
gratz,congratulations
gt,got
gtk,good to know
gud,good
haha,laughing
hak,hugs and kisses
hbu,how about you
hd,had
hih,hope it helps
ht,respect
hth,hope that helps
huh,what
hv,have
hw,how
h8,hate
ibtd,i beg to differ
ic,i see
icymi,in case you missed it
idc,i do not care
idgad,i do not give a damn
idgaf,i do not give a damn
idk,i do not know
idm,it does not matter
idrk,i do not really know
ifu,i fucked up
igtp,i get the point
ihno,i have no opinion
iidssm,if i do say so myself
iinm,if i am not mistaken
iir,if i remember
iirc,if i remember correctly
ijs,i am just saying
ikr,i know right
im,i am
ima,i might add
imao,in my arrogant opinion
imco,in my considered opinion
imho,in my honest opinion
ime,in my experience
imi,i mean it
imnsho,in my not so humble opinion
imo,in my opinion
inbd,it is no big deal
imfao,in my arrogant opinion
info,information
irl,in real life
iso,in search of
istm,it seems to me
istr,i seem to remember
iswym,i see what you mean
iyam,if you ask me
iykwim,if you know what i mean
iyo,in your opinion
j/c,just checking
j/j,just joking
j/k,just kidding
j/w,just wondering
j2lyk,just to let you know
j4f,just for fun
jk,just kidding
jsyk,just so you know
jtlyk,just to let you know
jfgi,just google it
jic,just in case
jv ,joint venture
jw,just wondering
k,ok
knw,know
kwim,know what i mean
l8er,later
lbh,let us be honest
lbs,laughing but serious
li,linkedin
lmao,laughing my ass off
lmfao,laughing my ass off
lmk,let me know
lol,laughing out loud
ltr,later
luv,love
mia,missing in action
mre,more
msg,message
mt,modified tweet
mtf,more to follow
n/a,not applicable
n/m,nothing much
n,no
n,and
nagi,not a good idea
ne,any
ne1,anyone
nic,nice
nm,never mind
nsfw,not safe for work
no1,no one
np,no problem
nts,note to self
ofc,of course
oh,overheard
omg,oh my god
orly,oh really
otoh,on the other hand
ott,over the top
ottomh,off the top of my head
peeps,people
ppl,people
pls,please
plz,please
pm,personal message
pov,point of view
prt,partial retweet
prt,please retweet
ptl,praise the lord
pw,password
r,are
re,reply to
rgds,regards
rite,right
rl,real life
rlrt,real life retweet
rn,right now
rofl,rolling on floor laughing
rr,rerun
rt,retweet
rtf,read the faq
rtfaq,read the faq
rtfm,read the fine manual
rthx,thanks for the retweet
rtq,read the question
rtq,retweet question
ru,are you
sec,second
sm,some
smh,shaking my head
smt,something
srsly,seriously
sry,sorry
stfw,search the web
sth,something
sup,what is up
tba,to be advised
tbd,to be determined
tbh,to be honest
tbt,throwback thursday
tc,take care
thks,thank you
thnks,thank you
tht,that
thx,thank you
tnx,thank you
tx,thank you
txs,thank you
txt,text
ty,thank you
tu,thank you
til,till
til,today i learned
tl,timeline
tl;dr,too long didn’t read
tmb,tweet me back
tmi,too much information
tmrw,tomorrow
tom,tomorrow
tt,translated tweet
ttyl,talk to you later
ttys,talk to you soon
twtr,twitter
tyvm,thank you very much
u,you
ur,your
ur,you are
u'l,you will
u'll,you will
v,very
w/,with
w/o,without
w8,wait
wad,without a doubt
wat,what
wbu,what about you
wer,where
wher,where
wk,week
wrt,with respect to
wt,what
wtf,what the hell
wth,what the hell
y,why
ya,you
ygtr,you got that right
ymmv,your mileage may vary
yolo,you only live once
youre,you are
yw,you are welcome
yt,youtube
yr,your
yrvw,you are very welcome
